corpus	model	bert_layers	finetuning_count	mean_precision	mean_recall	mean_f1	mean_hit	mean_mrr	mean_nearest_same_distance	mean_farthest_same_distance	geom_intra_mean	geom_inter_nearest_mean	geom_inter_intra_ratio	geom_centroid_margin
clres	random baseline		0	0.11662014983182674	0.01869092187673908	0.030971025791631437	0.7631227364185108	0.25293760248865393	nan	nan	14.699362959577428	8.204443543358174	0.5581495991302491	-6.494919416219254
clres	oracle		0	0.964118742427623	0.15190572795985063	0.2521964356667241					14.699362959577428	8.204443543358174	0.5581495991302491	-6.494919416219254
clres	bert-base-cased	11	0	0.5958723994819344	0.08990127085631029	0.14972166040414855	0.9628651911468813	0.8234370381261646	0.16021562939029213	0.2465306226893125	8.558284282286328	4.3198107893180975	0.5047519627571975	-4.238473492968231
clres	bert-base-cased	11	100	0.5978853414558065	0.09037796845119449	0.15049138316540106	0.9637384305835011	0.8218249493247899	0.3004415252315906	0.4392773379743546	14.915001285174203	7.0884890532507105	0.4752590306711408	-7.826512231923492
clres	bert-base-cased	11	250	0.6013420931855925	0.09091120195080489	0.15137606206883897	0.9631388329979879	0.8254095858154916	0.29671736923719516	0.43680422889677395	14.970373056927551	7.169362836919327	0.47890341874958814	-7.801010220008224
clres	bert-base-cased	11	500	0.5980656075101164	0.09039119810585747	0.15051764709946014	0.9628973843058352	0.82021172368596	0.29435129839270635	0.42825194651435616	14.913873103957556	7.089639834572971	0.4753721441207421	-7.824233269384585
clres	bert-base-cased	11	1000	0.6025931976071449	0.09116299541641791	0.15178837134218098	0.9641971830985915	0.8251966085448109	0.2927901595153329	0.43199673727035154	14.983496215212792	7.257574431379816	0.4843712259900448	-7.725921783832976
clres	bert-base-cased	11	2500	0.5966623862600764	0.09022571359188918	0.1502331257750349	0.9625311871227362	0.8198770237592389	0.2994478978375743	0.43914858580861504	15.069113836703673	7.227705273078498	0.47963704776548016	-7.841408563625175
clres	random baseline		0	0.11662014983182674	0.01869092187673908	0.030971025791631437	0.7631227364185108	0.25293760248865393	nan	nan	14.699362959577428	8.204443543358174	0.5581495991302491	-6.494919416219254
clres	oracle		0	0.964118742427623	0.15190572795985063	0.2521964356667241					14.699362959577428	8.204443543358174	0.5581495991302491	-6.494919416219254
clres	random baseline		0	0.11662014983182674	0.01869092187673908	0.030971025791631437	0.7631227364185108	0.25293760248865393	nan	nan	14.699362959577428	8.204443543358174	0.5581495991302491	-6.494919416219254
clres	oracle		0	0.964118742427623	0.15190572795985063	0.2521964356667241					14.699362959577428	8.204443543358174	0.5581495991302491	-6.494919416219254
clres	random baseline		0	0.11662014983182674	0.01869092187673908	0.030971025791631437	0.7631227364185108	0.25293760248865393	nan	nan	14.699362959577428	8.204443543358174	0.5581495991302491	-6.494919416219254
clres	oracle		0	0.964118742427623	0.15190572795985063	0.2521964356667241					14.699362959577428	8.204443543358174	0.5581495991302491	-6.494919416219254
clres	bert-base-cased	11	0	0.5958723994819344	0.08990127085631029	0.14972166040414855	0.9628651911468813	0.8234370381261646	0.16021562939029213	0.2465306226893125	8.558284282286328	4.3198107893180975	0.5047519627571975	-4.238473492968231
clres	bert-base-cased	11	100	0.5978853414558065	0.09037796845119449	0.15049138316540106	0.9637384305835011	0.8218249493247899	0.3004415252315906	0.4392773379743546	14.915001285174203	7.0884890532507105	0.4752590306711408	-7.826512231923492
clres	bert-base-cased	11	250	0.6013420931855925	0.09091120195080489	0.15137606206883897	0.9631388329979879	0.8254095858154916	0.29671736923719516	0.43680422889677395	14.970373056927551	7.169362836919327	0.47890341874958814	-7.801010220008224
clres	bert-base-cased	11	500	0.5980656075101164	0.09039119810585747	0.15051764709946014	0.9628973843058352	0.82021172368596	0.29435129839270635	0.42825194651435616	14.913873103957556	7.089639834572971	0.4753721441207421	-7.824233269384585
clres	bert-base-cased	11	1000	0.6025931976071449	0.09116299541641791	0.15178837134218098	0.9641971830985915	0.8251966085448109	0.2927901595153329	0.43199673727035154	14.983496215212792	7.257574431379816	0.4843712259900448	-7.725921783832976
clres	bert-base-cased	11	2500	0.5966623862600764	0.09022571359188918	0.1502331257750349	0.9625311871227362	0.8198770237592389	0.2994478978375743	0.43914858580861504	15.069113836703673	7.227705273078498	0.47963704776548016	-7.841408563625175
clres	distilbert-base-cased	5	0	0.5805977783331562	0.0874628153109854	0.14567215799125335	0.9644386317907448	0.8142325130720256	0.09835253773452454	0.1541550349018937	6.150207839795008	3.2912312094484593	0.5351414610986804	-2.8589766303465485
clres	distilbert-base-cased	5	100	0.5803178043390286	0.08767221317198044	0.1459803701552583	0.9612635814889338	0.8106569131847209	0.2555107985723699	0.3776873154920273	14.062104473026789	6.985736575314589	0.49677746234315584	-7.0763678977122
clres	distilbert-base-cased	5	250	0.5880357407031682	0.08883619512096408	0.1479177726553492	0.9618551307847082	0.8184830447323538	0.26156774082826223	0.39433599753867443	14.363508838640366	7.3380037949440196	0.5108782176680602	-7.025505043696346
clres	distilbert-base-cased	5	500	0.5818423253200159	0.08796850178587688	0.1464700215965169	0.961682092555332	0.8087658250469619	0.27367213552215186	0.40433923074768	14.396880838779644	7.105265721064338	0.4935281329776303	-7.291615117715306
clres	distilbert-base-cased	5	1000	0.5828218613259294	0.08803543422610315	0.14659178332867223	0.9621569416498993	0.810980743894066	0.25426459616555447	0.3803047864800619	14.094710327533836	7.095763041109008	0.5034344712461047	-6.998947286424828
clres	distilbert-base-cased	5	2500	0.5827984798701346	0.087996706498973	0.146524562327678	0.9641770623742457	0.8147106481090011	0.2695515762764661	0.40147473349665186	14.444060800150675	7.205078944798817	0.49882640654099547	-7.238981855351858
clres	roberta-base	11	0	0.39839864671187797	0.05896403962319516	0.0983110488023865	0.9279154929577464	0.6755661180507527	0.031937368232478655	0.04317273862827472	3.285293629598901	1.3281459090364207	0.4042700771311492	-1.95714772056248
clres	roberta-base	11	100	0.45783532461132787	0.06882111887970374	0.11460757901276115	0.9364627766599602	0.7114789006900226	0.19756847705335293	0.27827069719702857	13.145526215924875	5.9057471872679965	0.4492590931897121	-7.239779028656878
clres	roberta-base	11	250	0.4646691971325756	0.06980271878256823	0.11626652052880646	0.9398511066398387	0.7150020906571379	0.24762273761194295	0.3464013694939685	14.496326706827412	6.446642333591356	0.44470868130718566	-8.049684373236056
clres	roberta-base	11	500	0.46312891260544176	0.06950172516720463	0.11577822572979214	0.9399154929577468	0.713493362475509	0.2399093520983876	0.3340922068166096	14.21449774333276	6.133094587805205	0.43146755506587653	-8.081403155527555
clres	roberta-base	11	1000	0.4350985005591117	0.06492752779998179	0.10818478448368964	0.9409255533199194	0.7036124844459393	0.22949992679658782	0.30696208673270314	13.63868256868439	5.533534812180976	0.4057235575587379	-8.105147756503413
clres	roberta-base	11	2500	0.446375238028077	0.0668753984073823	0.11140556974161608	0.9376700201207244	0.7032974615549566	0.2028646443807758	0.2807031506082601	13.162183495493533	5.6795927620556315	0.43150840162653936	-7.482590733437902
clres	distilroberta-base	5	0	0.3241613702971122	0.04800176564033553	0.08001576472853386	0.9075211267605633	0.5984758029224863	0.013394279464361829	0.018196235501618307	2.344345636164227	0.8607265376892773	0.36715001594115676	-1.48361909847495
clres	distilroberta-base	5	100	0.38323084172921784	0.05731999575032124	0.09547906224523857	0.9235774647887324	0.644271624560689	0.2369341278607705	0.31796101226675244	13.737093588047191	5.160681247552816	0.375674899095336	-8.576412340494375
clres	distilroberta-base	5	250	0.40027784807855615	0.05980805617670571	0.09962592632435108	0.9276941649899395	0.6713862976889778	0.24699638877963312	0.33140083804381243	13.7335631925862	5.363679533274083	0.390552652509697	-8.369883659312116
clres	distilroberta-base	5	500	0.37071066034992195	0.055433366049114155	0.09233745950293332	0.921010060362173	0.6345132590107675	0.18717559267196468	0.25146495771777705	12.415005246642513	4.791843544865413	0.3859719307135459	-7.6231617017771
clres	distilroberta-base	5	1000	0.41822721058030643	0.06272366463963737	0.10446430347981606	0.9311951710261571	0.6822193396247584	0.22801950913574845	0.3065996168563218	13.2822336053346	5.447132163139326	0.41010663755767485	-7.835101442195274
clres	distilroberta-base	5	2500	0.41219431587551014	0.061723801236454136	0.10280480049513295	0.9331750503018112	0.6826164755661662	0.2129287220922016	0.28769793603619975	12.95066739335856	5.322997436582297	0.41102109064372	-7.627669956776262
clres	albert-base-v2	11	0	0.5652714132879	0.08554540073458732	0.14243020964376923	0.9563742454728371	0.7903799801663155	0.11424342542262778	0.1786706887839601	17.710651287096116	9.79197948942004	0.5528864710104943	-7.918671797676076
clres	albert-base-v2	11	100	0.5533964136095979	0.08365110643421599	0.13927722532607206	0.9526237424547286	0.7818777467153833	0.23513004458669962	0.3337695486893493	25.00590358657366	12.347561057131948	0.49378583798754166	-12.658342529441711
clres	albert-base-v2	11	250	0.5370020162434735	0.08129190233833515	0.13533561943965497	0.9519959758551308	0.7668150146129428	0.24482016467731185	0.3438427534677105	25.265638759412333	12.035332383196893	0.4763517953296673	-13.23030637621544
clres	albert-base-v2	11	500	0.5372685431449792	0.0812869949712135	0.13534184607706978	0.949175050301811	0.7632803146318203	0.24391195321290854	0.34096622883873934	25.107192636866444	11.849189863536209	0.47194403750809283	-13.258002773330235
